Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.01254,6E-05,0.00234,0,0,0,6.6463,0.04485,-4E-05,-0.00017,0.01106,0,0.04957,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/base_link.STL,,[Part]_pelvis_URDF_Ver4-1,Base_Frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Upper_Body_link,0.03142,0.00052,0.43773,0,0,0,8.4971,0.11166,-0.00042,0.0001,0.09794,-1E-05,0.11167,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/Upper_Body_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/Upper_Body_link.STL,,[Part]_Torso_Yaw_URDF_ver2-1;[Ass]_upperbody_URDF_Ver4-1,Torso_Yaw_Frame,Torso_Yaw,Torso_yaw_joint,revolute,-0.0305,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
L_Hip_yaw_link,0.00818,0,0.05977,0,0,0,0.52735,0.00108,0,-0.00016,0.0026,0,0.00191,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Hip_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Hip_yaw_link.STL,,[Part]L_hip_Yaw_URDF_Ver-1,L_Hip_Frame,L_Hip_Yaw,L_Hip_yaw_joint,revolute,0,0.105,-0.1512,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
L_Hip_roll_pitch_link,0.00202,0.0112,-2E-05,0,0,0,3.9265,0.00672,-8E-05,0,0.00713,0,0.00792,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Hip_roll_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Hip_roll_pitch_link.STL,,[Part]L_hip_roll_URDF_Ver-1,L_Hip_Frame,L_Hip_Roll,L_Hip_roll_joint,revolute,0,0,0,0,0,0,L_Hip_yaw_link,1,0,0,0,0,0,0,,,,,,,,
L_Thigh_link,0.01373,0.0244,-0.22423,0,0,0,4.9728,0.07468,-0.00086,0.00112,0.07322,-0.00522,0.01579,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Thigh_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Thigh_link.STL,,[Part]L_leg_thigh_URDF_Ver-1,L_Hip_Frame,L_Hip_Pitch,L_Hip_pitch_joint,revolute,0,0,0,0,0,0,L_Hip_roll_pitch_link,0,1,0,0,0,0,0,,,,,,,,
L_Calf_link,0.01497,0.01278,-0.18288,0,0,0,3.378,0.05941,-0.00011,0.00077,0.05717,-0.00764,0.00957,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Calf_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Calf_link.STL,,[Part]L_leg_calf_URDF_Ver-1,L_Knee_Pitch_Frame,L_Knee_Pitch,L_Knee_joint,revolute,0,0,-0.35,0,0,0,L_Thigh_link,0,1,0,0,0,0,0,,,,,,,,
L_Ankle_pitch_link,0.00395,-0.00242,0.00855,0,0,0,1.5671,0.00177,2E-05,-0.00014,0.00348,3E-05,0.00286,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Ankle_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Ankle_pitch_link.STL,,[Part]L_ankle_pitch_URDF_Ver-1,L_Ankle_Frame,L_Ankle_Pitch,L_Ankle_pitch_joint,revolute,0,-0.001,-0.35,0,0,0,L_Calf_link,0,1,0,0,0,0,0,,,,,,,,
L_Ankle_roll_link,0.01905,0,-0.03706,0,0,0,0.2033,0.00011,0,6E-05,0.00063,0,0.00059,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Ankle_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Ankle_roll_link.STL,,[Part]L_ankle_Roll_URDF_Ver-1,L_Ankle_Frame,L_Ankle_Roll,L_Ankle_roll_joint,revolute,0,0,0,0,0,0,L_Ankle_pitch_link,1,0,0,0,0,0,0,,,,,,,,
L_Foot,0,0,0.00861,0,0,0,0.92659,0.00107,0,0,0.00323,0,0.00412,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/L_Foot.STL,,[Part]L_sole_ftsensor_URDF_Ver-1,L_Foot_Frame,L_Ankle_Roll,L_Foot_joint,fixed,0,0,-0.09,0,0,0,L_Ankle_roll_link,0,0,0,,,,,,,,,,,,
R_Hip_yaw_link,0.00818,0,0.05977,0,0,0,0.52735,0.00108,0,-0.00016,0.0026,0,0.00191,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/R_Hip_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/R_Hip_yaw_link.STL,,[Part]R_hip_Yaw_URDF_Ver-1,R_Hip_Frame,R_Hip_Yaw,R_Hip_yaw_joint,revolute,0,-0.105,-0.1512,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
R_Hip_roll_pitch_link,0.00202,-0.0112,-2E-05,0,0,0,3.9265,0.00672,8E-05,0,0.00713,0,0.00792,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/R_Hip_roll_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/R_Hip_roll_pitch_link.STL,,[Part]R_hip_roll_URDF_Ver-1,R_Hip_Frame,R_Hip_Roll,R_Hip_roll_joint,revolute,0,0,0,0,0,0,R_Hip_yaw_link,1,0,0,0,0,0,0,,,,,,,,
R_Thigh_link,0.01373,-0.0244,-0.22423,0,0,0,4.9728,0.07468,0.00086,0.00112,0.07322,0.00522,0.01579,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/R_Thigh_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/R_Thigh_link.STL,,[Part]R_leg_thigh_URDF_Ver-1,R_Hip_Frame,R_Hip_Pitch,R_Hip_pitch_joint,revolute,0,0,0,0,0,0,R_Hip_roll_pitch_link,0,1,0,0,0,0,0,,,,,,,,
R_Calf_link,0.01497,-0.01278,-0.18288,0,0,0,3.378,0.05941,0.00011,0.00077,0.05717,0.00764,0.00957,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/R_Calf_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://[Ass]_RoK-3_URDF_Ver/meshes/R_Calf_link.STL,,[Part]R_leg_calf_URDF_Ver-1,R_Knee_Pitch_Frame,R_Knee_Pitch,R_Knee_joint,revolute,0,0,-0.35,0,0,0,R_Thigh_link,0,1,0,0,0,0,0,,,,,,,,
